"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"06","California","06001","Alameda","2005","9,514","",
"06","California","06001","Alameda","2006","9,217","",
"06","California","06001","Alameda","2007","9,639","",
"06","California","06001","Alameda","2008","9,800","",
"06","California","06001","Alameda","2009","10,918","",
"06","California","06001","Alameda","2010","9,782","",
"06","California","06001","Alameda","2011","9,294","",
"06","California","06001","Alameda","2012","9,868","",
"06","California","06001","Alameda","2013","9,951","",
"06","California","06001","Alameda","2014","9,893","",
"06","California","06001","Alameda","2015","9,886","",
"06","California","06001","Alameda","2016","9,077","",
"06","California","06001","Alameda","2017","8,915","",
"06","California","06001","Alameda","2018","7,772","",
"06","California","06001","Alameda","2019","7,436","",
"06","California","06003","Alpine","2005","Suppressed","",
"06","California","06003","Alpine","2006","Suppressed","",
"06","California","06003","Alpine","2007","Suppressed","",
"06","California","06003","Alpine","2008","Suppressed","",
"06","California","06003","Alpine","2009","Suppressed","",
"06","California","06003","Alpine","2010","Suppressed","",
"06","California","06003","Alpine","2011","0","",
"06","California","06003","Alpine","2012","Suppressed","",
"06","California","06003","Alpine","2013","Suppressed","",
"06","California","06003","Alpine","2014","0","",
"06","California","06003","Alpine","2015","0","",
"06","California","06003","Alpine","2016","Suppressed","",
"06","California","06003","Alpine","2017","0","",
"06","California","06003","Alpine","2018","Suppressed","",
"06","California","06003","Alpine","2019","Suppressed","",
"06","California","06005","Amador","2005","140","",
"06","California","06005","Amador","2006","152","",
"06","California","06005","Amador","2007","161","",
"06","California","06005","Amador","2008","143","",
"06","California","06005","Amador","2009","154","",
"06","California","06005","Amador","2010","165","",
"06","California","06005","Amador","2011","215","",
"06","California","06005","Amador","2012","264","",
"06","California","06005","Amador","2013","255","",
"06","California","06005","Amador","2014","227","",
"06","California","06005","Amador","2015","195","",
"06","California","06005","Amador","2016","187","",
"06","California","06005","Amador","2017","174","",
"06","California","06005","Amador","2018","137","",
"06","California","06005","Amador","2019","169","",
"06","California","06007","Butte","2005","1,054","",
